Title,Date,Severity,Summary,Link
Grafana vulnerable to Authentication Bypass by Spoofing,2023-06-22T21:30:49Z,Critical,"CVE-2023-3128was published
                        forgithub.com/grafana/grafana(Go)Jun 22, 2023",https://github.com/advisories/GHSA-mpv3-g8m3-3fjc
cyfs-base vulnerable to misaligned pointer dereference in `ChunkId::new`,2023-06-22T20:01:55Z,Moderate,"GHSA-g753-ghr7-q33wwas published
                        forcyfs-base(Rust)Jun 22, 2023",https://github.com/advisories/GHSA-g753-ghr7-q33w
"Cosmos ""Barberry"" vulnerability in github.com/cosmos/cosmos-sdk",2023-06-22T20:01:48Z,Moderate,"GHSA-w44m-8mv2-v78hwas published
                        forgithub.com/cosmos/cosmos-sdk(Go)Jun 22, 2023",https://github.com/advisories/GHSA-w44m-8mv2-v78h
Shescape potential environment variable exposure on Windows with CMD,2023-06-22T20:01:39Z,Low,"CVE-2023-35931was published
                        forshescape(npm)Jun 22, 2023",https://github.com/advisories/GHSA-3g7p-8qhx-mc8r
Vaadin vulnerable to possible information disclosure in non visible components.,2023-06-22T20:01:11Z,Moderate,"CVE-2023-25499was published
                        forcom.vaadin:flow-server(Maven)Jun 22, 2023",https://github.com/advisories/GHSA-5f9v-mv5g-jh5q
Vaadin vulnerable to possible information disclosure of class and method names in RPC response,2023-06-22T20:01:03Z,Low,"CVE-2023-25500was published
                        forcom.vaadin:flow-server(Maven)Jun 22, 2023",https://github.com/advisories/GHSA-ch48-9r3q-pv7x
FastAsyncWorldEdit vulnerable to Uncontrolled Resource Consumption,2023-06-22T20:00:36Z,Moderate,"CVE-2023-35925was published
                        forcom.fastasyncworldedit:FastAsyncWorldEdit-Bukkit(Maven)Jun 22, 2023",https://github.com/advisories/GHSA-whj9-m24x-qhhp
XWiki Platform vulnerable to reflected cross-site scripting via xredirect parameter in DeleteApplication page,2023-06-22T20:00:00Z,Critical,"CVE-2023-35161was published
                        fororg.xwiki.platform:xwiki-platform-appwithinminutes-ui(Maven)Jun 22, 2023",https://github.com/advisories/GHSA-4xm7-5q79-3fch
XWiki Platform vulnerable to reflected cross-site scripting via back and xcontinue parameters in resubmit template,2023-06-22T19:59:55Z,Critical,"CVE-2023-35160was published
                        fororg.xwiki.platform:xwiki-platform-web-templates(Maven)Jun 22, 2023",https://github.com/advisories/GHSA-r8xc-xxh3-q5x3
XWiki Platform vulnerable to reflected cross-site scripting via xredirect parameter in deletespace template,2023-06-22T19:59:47Z,Critical,"CVE-2023-35159was published
                        fororg.xwiki.platform:xwiki-platform-web-templates(Maven)Jun 22, 2023",https://github.com/advisories/GHSA-x234-mg7q-m8g8
XWiki Platform vulnerable to reflected cross-site scripting via xredirect parameter in restore template,2023-06-22T19:59:33Z,Critical,"CVE-2023-35158was published
                        fororg.xwiki.platform:xwiki-platform-flamingo-skin-resources(Maven)Jun 22, 2023",https://github.com/advisories/GHSA-mwxj-g7fw-7hc8
XWiki Platform vulnerable to reflected cross-site scripting via delattachment action,2023-06-22T19:59:25Z,High,"CVE-2023-35157was published
                        fororg.xwiki.platform:xwiki-platform-oldcore(Maven)Jun 22, 2023",https://github.com/advisories/GHSA-phwm-87rg-27qq
XWiki Platform vulnerable to reflected cross-site scripting via xredirect parameter in delete template,2023-06-22T19:59:10Z,Critical,"CVE-2023-35156was published
                        fororg.xwiki.platform:xwiki-platform-flamingo-skin-resources(Maven)Jun 22, 2023",https://github.com/advisories/GHSA-834c-x29c-f42c
Flask-AppBuilder vulnerable to possible disclosure of sensitive information on user error,2023-06-22T19:59:03Z,Low,"CVE-2023-34110was published
                        forFlask-AppBuilder(pip)Jun 22, 2023",https://github.com/advisories/GHSA-jhpr-j7cq-3jp3
org.nokogiri:nekohtml vulnerable to Uncontrolled Resource Consumption,2023-06-22T19:58:54Z,High,"CVE-2022-24839was published
                        fororg.nokogiri:nekohtml(Maven)Jun 22, 2023",https://github.com/advisories/GHSA-9849-p7jc-9rmv
fuadmin vulnerable to insecure file upload,2023-06-22T15:30:24Z,Critical,"CVE-2023-36097was published
                        forfunadmin/funadmin(Composer)Jun 22, 2023",https://github.com/advisories/GHSA-5m3m-q8cq-77g4
Casdoor Cross-Site Request Forgery vulnerability,2023-06-22T15:30:23Z,Moderate,"CVE-2023-34927was published
                        forgithub.com/casdoor/casdoor(Go)Jun 22, 2023",https://github.com/advisories/GHSA-rwcp-qrwg-56cg
laravel-s vulnerable to Local File Inclusion,2023-06-22T12:30:14Z,Critical,"CVE-2023-29931was published
                        forhhxsv5/laravel-s(Composer)Jun 22, 2023",https://github.com/advisories/GHSA-q2fp-jw87-86px
word-wrap vulnerable to Regular Expression Denial of Service,2023-06-22T06:30:18Z,Moderate,"CVE-2023-26115was published
                        forword-wrap(npm)Jun 22, 2023",https://github.com/advisories/GHSA-j8xg-fqg3-53r7
Silver vulnerable to MitM attack against implants due to a cryptography vulnerability,2023-06-21T22:08:34Z,High,"CVE-2023-34758was published
                        forgithub.com/bishopfox/sliver(Go)Jun 21, 2023",https://github.com/advisories/GHSA-8jxm-xp43-qh3q
`openssl` `X509VerifyParamRef::set_host` buffer over-read,2023-06-21T22:07:52Z,Moderate,"GHSA-xcf7-rvmh-g6q4was published
                        foropenssl(Rust)Jun 21, 2023",https://github.com/advisories/GHSA-xcf7-rvmh-g6q4
Livebook Desktop's protocol handler can be exploited to execute arbitrary command on Windows,2023-06-21T22:07:37Z,High,"CVE-2023-35174was published
                        forlivebook(Erlang)Jun 21, 2023",https://github.com/advisories/GHSA-564w-97r7-c6p9
memoffset allows reading uninitialized memory,2023-06-21T22:06:29Z,Moderate,"GHSA-wfg4-322g-9vqvwas published
                        formemoffset(Rust)Jun 21, 2023",https://github.com/advisories/GHSA-wfg4-322g-9vqv
passport-wsfed-saml2 Signature Bypass vulnerability,2023-06-21T22:06:22Z,High,"GHSA-5wrg-8fxp-cx9rwas published
                        forpassport-wsfed-saml2(npm)Jun 21, 2023",https://github.com/advisories/GHSA-5wrg-8fxp-cx9r
Backstage Scaffolder plugin has insecure sandbox,2023-06-21T22:00:30Z,High,"CVE-2023-35926was published
                        for@backstage/plugin-scaffolder-backend(npm)Jun 21, 2023",https://github.com/advisories/GHSA-wg6p-jmpc-xjmr
passport-wsfed-saml2 vulnerable to Signature Bypass in SAML2 token,2023-06-21T22:00:18Z,High,"CVE-2017-16897was published
                        forpassport-wsfed-saml2(npm)Jun 21, 2023",https://github.com/advisories/GHSA-77fw-rf4v-vfp9
php-imap vulnerable to RCE through a directory traversal vulnerability,2023-06-21T21:58:58Z,Critical,"CVE-2023-35169was published
                        forwebklex/laravel-imap(Composer)Jun 21, 2023",https://github.com/advisories/GHSA-47p7-xfcc-4pv9
urlnorm vulnerable to Regular Expression Denial of Service,2023-06-21T21:30:25Z,High,"CVE-2023-33289was published
                        forurlnorm(Rust)Jun 21, 2023",https://github.com/advisories/GHSA-fqhp-rhm6-8rrj
Tauri vulnerable to Regression on Filesystem Scope Checks for Dotfiles,2023-06-21T18:35:21Z,Moderate,"CVE-2023-34460was published
                        fortauri(Rust)Jun 21, 2023",https://github.com/advisories/GHSA-wmff-grcw-jcfm
Broadleaf vulnerable to Cross-site Scripting,2023-06-21T18:31:08Z,Moderate,"CVE-2023-33725was published
                        fororg.broadleafcommerce:broadleaf(Maven)Jun 21, 2023",https://github.com/advisories/GHSA-3862-fmr3-4f3h
Apache Tomcat vulnerable to information leak,2023-06-21T12:30:19Z,High,"CVE-2023-34981was published
                        fororg.apache.tomcat:tomcat(Maven)Jun 21, 2023",https://github.com/advisories/GHSA-mppv-79ch-vw6q
Apache Accumulo Improper Authentication vulnerability,2023-06-21T09:30:15Z,Critical,"CVE-2023-34340was published
                        fororg.apache.accumulo:accumulo-shell(Maven)Jun 21, 2023",https://github.com/advisories/GHSA-hp5w-w29m-vg63
semver vulnerable to Regular Expression Denial of Service,2023-06-21T06:30:28Z,Moderate,"CVE-2022-25883was published
                        forsemver(npm)Jun 21, 2023",https://github.com/advisories/GHSA-c2qf-rxjj-qqgw
XWiki Platform vulnerable to privilege escalation (PR) from account through TipsPanel,2023-06-20T19:55:36Z,High,"CVE-2023-35166was published
                        fororg.xwiki.platform:xwiki-platform-help-ui(Maven)Jun 20, 2023",https://github.com/advisories/GHSA-h7cw-44vp-jq7h
"When setting EntityOptions.apiPrefilter to a function, the filter is not applied to API requests for a resource by Id",2023-06-20T18:50:15Z,Moderate,"CVE-2023-35167was published
                        forremult(npm)Jun 20, 2023",https://github.com/advisories/GHSA-7hh3-3x64-v2g9
XWiki Platform vulnerable to cross-site scripting via xcontinue parameter in previewactions template,2023-06-20T17:42:16Z,Critical,"CVE-2023-35162was published
                        fororg.xwiki.platform:xwiki-platform-flamingo-skin-resources(Maven)Jun 20, 2023",https://github.com/advisories/GHSA-q9hg-9qj2-mxf9
XWiki Platform vulnerable to cross-site scripting in target parameter via share page by email,2023-06-20T16:48:36Z,High,"CVE-2023-35155was published
                        fororg.xwiki.platform:xwiki-platform-sharepage-api(Maven)Jun 20, 2023",https://github.com/advisories/GHSA-fwwj-wg89-7h4c
XWiki Platform vulnerable to stored cross-site scripting in ClassEditSheet page via name parameters,2023-06-20T16:47:13Z,Critical,"CVE-2023-35153was published
                        fororg.xwiki.platform:xwiki-platform-appwithinminutes-ui(Maven)Jun 20, 2023",https://github.com/advisories/GHSA-4wc6-hqv9-qc97
XWiki Platform vulnerable to privilege escalation (PR) from account through like LiveTableResults,2023-06-20T16:46:53Z,Critical,"CVE-2023-35152was published
                        fororg.xwiki.platform:xwiki-platform-like-ui(Maven)Jun 20, 2023",https://github.com/advisories/GHSA-rf8j-q39g-7xfm
XWiki Platform may show email addresses in clear in REST results,2023-06-20T16:46:29Z,High,"CVE-2023-35151was published
                        fororg.xwiki.platform:xwiki-platform-rest-server(Maven)Jun 20, 2023",https://github.com/advisories/GHSA-8g9c-c9cm-9c56
XWiki Platform vulnerable to privilege escalation (PR) from view right via Invitation application,2023-06-20T16:46:11Z,Critical,"CVE-2023-35150was published
                        fororg.xwiki.platform:xwiki-platform-invitation-ui(Maven)Jun 20, 2023",https://github.com/advisories/GHSA-6mf5-36v9-3h2w
XWiki Platform may retrieve email addresses of all users,2023-06-20T16:45:32Z,High,"CVE-2023-34467was published
                        fororg.xwiki.platform:xwiki-platform-livetable-ui(Maven)Jun 20, 2023",https://github.com/advisories/GHSA-7vr7-cghh-ch63
XWiki Platform's tags on non-viewable pages can be revealed to users,2023-06-20T16:45:12Z,Moderate,"CVE-2023-34466was published
                        fororg.xwiki.platform:xwiki-platform-tag-api(Maven)Jun 20, 2023",https://github.com/advisories/GHSA-7f2f-pcv3-j2r7
XWiki Platform's Mail.MailConfig can be edited by any user with edit rights,2023-06-20T16:44:55Z,Critical,"CVE-2023-34465was published
                        fororg.xwiki.platform:xwiki-platform-mail-send-default(Maven)Jun 20, 2023",https://github.com/advisories/GHSA-g75c-cjr6-39mc
XWiki vulnerable to stored cross-site scripting via any wiki document and the displaycontent/rendercontent template,2023-06-20T16:44:35Z,Critical,"CVE-2023-34464was published
                        fororg.xwiki.platform:xwiki-platform-web(Maven)Jun 20, 2023",https://github.com/advisories/GHSA-fp7h-f9f5-x4q7
Vega's validators able to submit duplicate transactions,2023-06-20T16:36:18Z,Moderate,"CVE-2023-35163was published
                        forcode.vegaprotocol.io/vega(Go)Jun 20, 2023",https://github.com/advisories/GHSA-8rc9-vxjh-qjf2
netty-handler SniHandler 16MB allocation,2023-06-20T16:33:22Z,Moderate,"CVE-2023-34462was published
                        forio.netty:netty-handler(Maven)Jun 20, 2023",https://github.com/advisories/GHSA-6mjq-h674-j845
Liufee CMS File Upload vulnerability,2023-06-20T15:31:09Z,Critical,"CVE-2020-21489was published
                        forfeehi/cms(Composer)Jun 20, 2023",https://github.com/advisories/GHSA-6vf2-mfmr-qqqw
Alluxio Cross Site Scripting vulnerability,2023-06-20T15:31:09Z,Moderate,"CVE-2020-21485was published
                        fororg.alluxio:alluxio-parent(Maven)Jun 20, 2023",https://github.com/advisories/GHSA-298m-hvgh-x9cw
Langchain vulnerable to arbitrary code execution,2023-06-20T15:31:09Z,Critical,"CVE-2023-34541was published
                        forlangchain(pip)Jun 20, 2023",https://github.com/advisories/GHSA-6643-h7h5-x9wh
GilaCMS Cross Site Request Forgery vulnerability,2023-06-20T15:31:08Z,High,"CVE-2020-20726was published
                        forgilacms/gila(Composer)Jun 20, 2023",https://github.com/advisories/GHSA-4cw3-rhqx-vqwr
Craft CMS vulnerable to HTML injection,2023-06-20T15:31:08Z,Moderate,"CVE-2023-33495was published
                        forcraftcms/cms(Composer)Jun 20, 2023",https://github.com/advisories/GHSA-m3v5-gjj9-rg24
liufee CMS File Upload vulnerability,2023-06-20T15:31:08Z,Critical,"CVE-2020-21174was published
                        forfeehi/cms(Composer)Jun 20, 2023",https://github.com/advisories/GHSA-q3q5-qvh5-cmw5
GilaCMS Cross Site Request Forgery vulnerability,2023-06-20T15:31:08Z,High,"CVE-2020-20726was published
                        forgilacms/gila(Composer)Jun 20, 2023",https://github.com/advisories/GHSA-4cw3-rhqx-vqwr
NodCMS Cross Site Scripting vulnerability,2023-06-20T15:31:08Z,Moderate,"CVE-2020-20697was published
                        forkhodakhah/nodcms(Composer)Jun 20, 2023",https://github.com/advisories/GHSA-7xqx-xwg9-jx34
AWS CDK EKS overly permissive trust policies,2023-06-19T22:47:26Z,Moderate,"CVE-2023-35165was published
                        for@aws-cdk/aws-eks(npm)Jun 19, 2023",https://github.com/advisories/GHSA-rx28-r23p-2qc3
Jenkins Team Concert Plugin does not perform permission checks in methods implementing form validation,2023-06-19T21:30:21Z,Moderate,"CVE-2023-3315was published
                        fororg.jenkins-ci.plugins:teamconcert(Maven)Jun 19, 2023",https://github.com/advisories/GHSA-hcpw-v727-64qh
OpenZeppelin Contracts using MerkleProof multiproofs may allow proving arbitrary leaves for specific trees,2023-06-19T19:46:37Z,Moderate,"CVE-2023-34459was published
                        for@openzeppelin/contracts(npm)Jun 19, 2023",https://github.com/advisories/GHSA-wprv-93r4-jj2p
Apache Airflow vulnerable to exposure of sensitive information,2023-06-19T09:30:17Z,Moderate,"CVE-2023-35005was published
                        forapache-airflow(pip)Jun 19, 2023",https://github.com/advisories/GHSA-mjff-wv85-hmcj
JeecgBoot vulnerable to SQL injection in queryFilterTableDictInfo,2023-06-19T06:30:42Z,Moderate,"CVE-2023-34603was published
                        fororg.jeecgframework.boot:jeecg-boot-parent(Maven)Jun 19, 2023",https://github.com/advisories/GHSA-cvgc-465m-cw9g
JeecgBoot vulnerable to SQL injection in queryTableDictItemsByCode,2023-06-19T06:30:42Z,Moderate,"CVE-2023-34602was published
                        fororg.jeecgframework.boot:jeecg-boot-parent(Maven)Jun 19, 2023",https://github.com/advisories/GHSA-784x-7w88-w564
Duplicate Advisory: elFinder vulnerable to path traversal in LocalVolumeDriver connector,2023-06-19T03:30:19Z,High,"GHSA-3p2q-mh7q-9pxjwas published
                        forstudio-42/elfinder(Composer)Jun 19, 2023•withdrawn",https://github.com/advisories/GHSA-3p2q-mh7q-9pxj
Solon vulnerable to deserialization of untrusted data,2023-06-19T03:30:18Z,Critical,"CVE-2023-35839was published
                        fororg.noear:solon(Maven)Jun 19, 2023",https://github.com/advisories/GHSA-7q8c-49f4-4c8q
Whaleal IceFrog is vulnerable to deserialization,2023-06-18T09:30:17Z,Moderate,"CVE-2023-3308was published
                        forcom.whaleal.icefrog:icefrog-all(Maven)Jun 18, 2023",https://github.com/advisories/GHSA-rx62-5cw6-x29q
@apollo/server vulnerable to unsafe application of Content Security Policy via reused nonces,2023-06-16T19:40:53Z,Low,"GHSA-68jh-rf6x-836fwas published
                        for@apollo/server(npm)Jun 16, 2023",https://github.com/advisories/GHSA-68jh-rf6x-836f
Grav Server-side Template Injection (SSTI) via Twig Default Filters,2023-06-16T19:37:08Z,High,"CVE-2023-34448was published
                        forgetgrav/grav(Composer)Jun 16, 2023",https://github.com/advisories/GHSA-whr7-m3f8-mpm8
Grav Server-side Template Injection (SSTI) via Denylist Bypass Vulnerability,2023-06-16T19:36:52Z,High,"CVE-2023-34253was published
                        forgetgrav/grav(Composer)Jun 16, 2023",https://github.com/advisories/GHSA-j3v8-v77f-fvgm
Grav Server-side Template Injection (SSTI) via Twig Default Filters,2023-06-16T19:36:39Z,High,"CVE-2023-34252was published
                        forgetgrav/grav(Composer)Jun 16, 2023",https://github.com/advisories/GHSA-96xv-rmwj-6p9w
Grav Server Side Template Injection (SSTI) vulnerability,2023-06-16T19:35:56Z,Critical,"CVE-2023-34251was published
                        forgetgrav/grav(Composer)Jun 16, 2023",https://github.com/advisories/GHSA-f9jf-4cp4-4fq5
jeecg-boot unrestricted file upload vulnerability,2023-06-16T18:30:33Z,Moderate,"CVE-2023-34660was published
                        fororg.jeecgframework.boot:jeecg-boot-parent(Maven)Jun 16, 2023",https://github.com/advisories/GHSA-jf2f-hvxx-4rqx
jeecg-boot SQL injection vulnerability,2023-06-16T18:30:33Z,Critical,"CVE-2023-34659was published
                        fororg.jeecgframework.boot:jeecg-boot-parent(Maven)Jun 16, 2023",https://github.com/advisories/GHSA-934g-fvcc-4833
Cilium vulnerable to information leakage via incorrect ReferenceGrant handling,2023-06-16T17:47:56Z,Low,"CVE-2023-34242was published
                        forgithub.com/cilium/cilium(Go)Jun 16, 2023",https://github.com/advisories/GHSA-r7wr-4w5q-55m6
ipandlanguageredirect extension vulnerable to SQL Injection,2023-06-16T15:30:19Z,High,"CVE-2023-35782was published
                        forin2code/ipandlanguageredirect(Composer)Jun 16, 2023",https://github.com/advisories/GHSA-4xf2-7qfv-mgfx
ke_search (aka Faceted Search) vulnerable to Cross-Site Scripting,2023-06-16T15:30:19Z,Moderate,"CVE-2023-35783was published
                        fortpwd/ke_search(Composer)Jun 16, 2023",https://github.com/advisories/GHSA-f4m6-x2xj-jc7w
Mattermost Server Missing Authorization vulnerability,2023-06-16T09:30:24Z,Moderate,"CVE-2023-2783was published
                        forgithub.com/mattermost/mattermost-server/v6(Go)Jun 16, 2023",https://github.com/advisories/GHSA-455c-vqrf-mghr
Kubelet vulnerable to bypass of seccomp profile enforcement,2023-06-16T09:30:24Z,Moderate,"CVE-2023-2431was published
                        fork8s.io/kubernetes(Go)Jun 16, 2023",https://github.com/advisories/GHSA-xc8m-28vv-4pjc
fast-xml-parser regex vulnerability patch could be improved from a safety perspective,2023-06-15T19:05:13Z,Low,"GHSA-gpv5-7x3g-ghjvwas published
                        forfast-xml-parser(npm)Jun 15, 2023",https://github.com/advisories/GHSA-gpv5-7x3g-ghjv
snappy-java's unchecked chunk length leads to DoS,2023-06-15T17:15:06Z,High,"CVE-2023-34455was published
                        fororg.xerial.snappy:snappy-java(Maven)Jun 15, 2023",https://github.com/advisories/GHSA-qcwq-55hx-v3vh
snappy-java's Integer Overflow vulnerability in compress leads to DoS,2023-06-15T16:28:08Z,Moderate,"CVE-2023-34454was published
                        fororg.xerial.snappy:snappy-java(Maven)Jun 15, 2023",https://github.com/advisories/GHSA-fjpj-2g6w-x25r
snappy-java's Integer Overflow vulnerability in shuffle leads to DoS,2023-06-15T16:13:20Z,Moderate,"CVE-2023-34453was published
                        fororg.xerial.snappy:snappy-java(Maven)Jun 15, 2023",https://github.com/advisories/GHSA-pqr6-cmr2-h8hf
HuTool XML parsing module has blind XXE vulnerability,2023-06-15T15:30:15Z,High,"CVE-2023-3276was published
                        forcn.hutool:hutool-core(Maven)Jun 15, 2023",https://github.com/advisories/GHSA-p2qf-9vp6-3jjq
ink! vulnerable to incorrect decoding of storage value when using `DelegateCall`,2023-06-14T20:11:38Z,Moderate,"CVE-2023-34449was published
                        forink(Rust)Jun 14, 2023",https://github.com/advisories/GHSA-853p-5678-hv8f
Guava vulnerable to insecure use of temporary directory,2023-06-14T18:30:38Z,Moderate,"CVE-2023-2976was published
                        forcom.google.guava:guava(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-7g45-4rm6-3mm3
github.com/lestrrat-go/jwx vulnerable to Potential Padding Oracle Attack,2023-06-14T17:24:36Z,Moderate,"GHSA-rm8v-mxj3-5rmqwas published
                        forgithub.com/lestrrat-go/jwx(Go)Jun 14, 2023",https://github.com/advisories/GHSA-rm8v-mxj3-5rmq
Microsoft Security Advisory CVE-2023-33126: .NET Remote Code Execution Vulnerability,2023-06-14T17:18:10Z,High,"CVE-2023-33126was published
                        forMicrosoft.NetCore.App.Runtime.win-arm(NuGet)Jun 14, 2023",https://github.com/advisories/GHSA-gh24-9qjj-mr67
.NET Remote Code Execution Vulnerability,2023-06-14T17:17:02Z,High,"CVE-2023-33128was published
                        forMicrosoft.NetCore.App.Runtime.linux-arm(NuGet)Jun 14, 2023",https://github.com/advisories/GHSA-x469-cv7m-77r9
.NET Denial of Service vulnerability,2023-06-14T17:08:54Z,High,"CVE-2023-29331was published
                        forMicrosoft.NetCore.App.Runtime.linux-arm(NuGet)Jun 14, 2023",https://github.com/advisories/GHSA-555c-2p6r-68mm
.NET Elevation of Privilege Vulnerability,2023-06-14T17:04:29Z,High,"CVE-2023-24936was published
                        forMicrosoft.NetCore.App.Runtime.linux-arm(NuGet)Jun 14, 2023",https://github.com/advisories/GHSA-jx7q-xxmw-44vf
.NET Remote Code Execution Vulnerability,2023-06-14T17:02:24Z,High,"CVE-2023-24895was published
                        forMicrosoft.WindowsDesktop.App.Runtime.win-arm64(NuGet)Jun 14, 2023",https://github.com/advisories/GHSA-jh2h-qcrw-ghg7
.NET Remote Code Execution Vulnerability,2023-06-14T17:01:16Z,High,"CVE-2023-24897was published
                        forMicrosoft.NetCore.App.Runtime.win-arm(NuGet)Jun 14, 2023",https://github.com/advisories/GHSA-88q2-h5g3-p4pg
NuGet Client Remote Code Execution Vulnerability,2023-06-14T16:44:21Z,High,"CVE-2023-29337was published
                        forMicrosoft.Build.NuGetSdkResolver(NuGet)Jun 14, 2023",https://github.com/advisories/GHSA-6qmf-mmc7-6c2p
elFinder vulnerable to path traversal in LocalVolumeDriver connector,2023-06-14T16:37:01Z,High,"CVE-2023-35840was published
                        forstudio-42/elfinder(Composer)Jun 14, 2023",https://github.com/advisories/GHSA-wm5g-p99q-66g4
Langchain OS Command Injection vulnerability,2023-06-14T15:30:39Z,Moderate,"CVE-2023-34540was published
                        forlangchain(pip)Jun 14, 2023",https://github.com/advisories/GHSA-x32c-59v5-h7fg
jjson vulnerable to stack exhaustion,2023-06-14T15:30:39Z,High,"CVE-2023-35110was published
                        forde.grobmeier.json:jjson(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-75m3-f4hr-2vh9
genson vulnerable to stack exhaustion,2023-06-14T15:30:38Z,High,"CVE-2023-34617was published
                        forcom.owlike:genson(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-fj64-qprx-q7vq
htmlcleaner vulnerable to stack exhaustion,2023-06-14T15:30:38Z,High,"CVE-2023-34624was published
                        fornet.sourceforge.htmlcleaner:htmlcleaner(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-jv4x-j47q-6qvp
jsonij vulnerable to stack exhaustion,2023-06-14T15:30:38Z,High,"CVE-2023-34614was published
                        forcc.plural:jsonij(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-66gv-5m8q-rrjc
json-io vulnerable to stack exhaustion,2023-06-14T15:30:38Z,High,"CVE-2023-34610was published
                        forcom.cedarsoftware:json-io(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-779h-3r69-4f5p
JSONUtil vulnerable to stack exhaustion,2023-06-14T15:30:38Z,Critical,"CVE-2023-34615was published
                        fornet.pwall.json:jsonutil(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-w2rr-wvh9-m2m7
sojo vulnerable to stack exhaustion,2023-06-14T15:30:38Z,High,"CVE-2023-34613was published
                        fornet.sf.sojo:sojo(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-75r3-38rh-pmxv
pbjson vulnerable to stack exhaustion,2023-06-14T15:30:38Z,High,"CVE-2023-34616was published
                        forcom.progsbase.libraries:JSON(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-p4c9-x742-qh8c
hjson stack exhaustion vulnerability,2023-06-14T15:30:38Z,High,"CVE-2023-34620was published
                        fororg.hjson:hjson(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-5wfc-hjrc-gq87
ph-json vulnerable to stack exhaustion,2023-06-14T15:30:38Z,High,"CVE-2023-34612was published
                        forcom.helger.commons:ph-json(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-mx27-gg24-h2jc
Jenkins Template Workflows Plugin vulnerable to Stored Cross-site Scripting,2023-06-14T15:30:37Z,High,"CVE-2023-35146was published
                        fororg.jenkins.plugin.templateWorkflows:template-workflows(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-62v2-xwh3-5gvx
Jenkins Digital.ai App Management Publisher Plugin missing permission checks,2023-06-14T15:30:37Z,Moderate,"CVE-2023-35149was published
                        fororg.jenkins-ci.plugins:ease-plugin(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-5ghv-wxh9-7356
Jenkins Sonargraph Integration Plugin vulnerable to Stored Cross-site Scripting,2023-06-14T15:30:37Z,High,"CVE-2023-35145was published
                        fororg.jenkins-ci.plugins:sonargraph-integration(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-wmxx-2pvr-x7j6
Jenkins CSRF protection bypass vulnerability,2023-06-14T15:30:37Z,High,"CVE-2023-35141was published
                        fororg.jenkins-ci.main:jenkins-core(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-98fp-r22g-wpj7
Jenkins Digital.ai App Management Publisher Plugin vulnerable to Cross-Site Request Forgery,2023-06-14T15:30:37Z,Moderate,"CVE-2023-35148was published
                        fororg.jenkins-ci.plugins:ease-plugin(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-r72x-2h45-p59x
@keystone-6/auth Open Redirect vulnerability,2023-06-14T14:54:06Z,Moderate,"CVE-2023-34247was published
                        for@keystone-6/auth(npm)Jun 14, 2023",https://github.com/advisories/GHSA-jqxr-vjvv-899m
Apache Struts vulnerable to memory exhaustion,2023-06-14T09:30:42Z,Moderate,"CVE-2023-34149was published
                        fororg.apache.struts:struts2-core(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-8f6x-v685-g2xc
Apache Struts vulnerable to memory exhaustion,2023-06-14T09:30:42Z,High,"CVE-2023-34396was published
                        fororg.apache.struts:struts2-core(Maven)Jun 14, 2023",https://github.com/advisories/GHSA-4g42-gqrg-4633
nuxt Code Injection vulnerability,2023-06-13T18:30:40Z,High,"CVE-2023-3224was published
                        fornuxt(npm)Jun 13, 2023",https://github.com/advisories/GHSA-gc34-5v43-h7v8
Withdrawn Advisory: CraftCMS Server-Side Template Injection vulnerability,2023-06-13T18:30:39Z,High,"CVE-2023-30179was published
                        forcraftcms/cms(Composer)Jun 13, 2023•withdrawn",https://github.com/advisories/GHSA-3x74-v64j-qc3f
Insecure Temporary File in HuTool,2023-06-13T18:30:39Z,High,"CVE-2023-33695was published
                        forcn.hutool:hutool-core(Maven)Jun 13, 2023",https://github.com/advisories/GHSA-7mcw-xmx3-7p8m
Dolibarr vulnerable to unauthenticated database access,2023-06-13T18:30:39Z,High,"CVE-2023-33568was published
                        fordolibarr/dolibarr(Composer)Jun 13, 2023",https://github.com/advisories/GHSA-fpvg-m786-h5vr
fast-xml-parser vulnerable to Prototype Pollution through tag or attribute name,2023-06-13T12:44:34Z,High,"CVE-2023-26920was published
                        forfast-xml-parser(npm)Jun 13, 2023",https://github.com/advisories/GHSA-x3cc-x39p-42qx
tgstation-server cached user logins in legacy server,2023-06-12T20:30:27Z,High,"CVE-2018-17107was published
                        forTGServiceInterface(NuGet)Jun 12, 2023",https://github.com/advisories/GHSA-42r6-p4px-qvv6
